pair,binance,bybit,bitget,mexc
1000BONKUSDT,6,,,6
1000FLOKIUSDT,5,,,
1000LUNCUSDT,5,4,,
1000PEPEUSDT,7,,,
1000SHIBUSDT,6,,,
1000XECUSDT,5,5,5,
1INCHUSDT,4,4,4,4
AAVEUSDT,2,2,3,2
ACHUSDT,5,5,6,5
ADAUSDT,4,4,5,4
AGIXUSDT,4,,4,4
AGLDUSDT,4,4,4,4
ALGOUSDT,4,4,4,4
ALICEUSDT,3,3,3,3
ALPHAUSDT,5,5,5,5
AMBUSDT,6,,5,6
ANKRUSDT,5,5,5,5
ANTUSDT,3,3,3,3
APEUSDT,3,3,3,3
API3USDT,4,3,3,4
APTUSDT,3,3,3,3
ARUSDT,3,2,3,3
ARBUSDT,4,,4,4
ARKUSDT,4,,,4
ARKMUSDT,4,,4,4
ARPAUSDT,5,5,5,5
ASTRUSDT,5,5,5,5
ATAUSDT,4,,,4
ATOMUSDT,3,3,3,3
AUDIOUSDT,4,4,4,4
AVAXUSDT,3,3,3,3
AXSUSDT,3,3,4,3
BADGERUSDT,3,,,3
BAKEUSDT,4,4,4,4
BALUSDT,3,3,,3
BANDUSDT,4,3,4,4
BATUSDT,4,4,4,4
BCHUSDT,2,2,2,2
BEAMXUSDT,6,,,6
BELUSDT,4,4,4,4
BICOUSDT,4,4,,4
BIGTIMEUSDT,4,,4,4
BLUEBIRDUSDT,3,,,
BLURUSDT,4,,4,4
BLZUSDT,5,5,,5
BNBUSDT,2,2,2,2
BNTUSDT,4,,4,4
BNXUSDT,4,,4,4
BONDUSDT,3,,,3
BSVUSDT,2,2,2,2
BTCUSDT,1,2,1,1
BTCDOMUSDT,1,,,
C98USDT,4,4,4,4
CAKEUSDT,4,,,4
CELOUSDT,3,3,3,3
CELRUSDT,5,5,5,5
CFXUSDT,4,,5,4
CHRUSDT,4,4,4,4
CHZUSDT,5,5,5,5
CKBUSDT,6,6,6,6
COCOSUSDT,3,,,
COMBOUSDT,4,,4,4
COMPUSDT,2,2,2,2
COTIUSDT,5,4,5,5
CRVUSDT,3,3,4,3
CTKUSDT,4,3,4,4
CTSIUSDT,4,5,4,4
CVCUSDT,5,5,,5
CVXUSDT,3,3,3,3
CYBERUSDT,3,,4,3
DARUSDT,4,4,4,4
DASHUSDT,2,2,2,2
DEFIUSDT,1,,,
DENTUSDT,6,6,6,6
DGBUSDT,5,5,,
DODOXUSDT,5,,,
DOGEUSDT,5,5,6,5
DOTUSDT,3,3,3,3
DUSKUSDT,5,4,5,5
DYDXUSDT,3,3,3,3
EDUUSDT,4,,4,4
EGLDUSDT,2,2,2,2
ENJUSDT,4,4,4,4
ENSUSDT,3,2,3,3
EOSUSDT,3,3,4,3
ETCUSDT,3,3,3,3
ETHBTC,5,,,
ETHUSDT,2,2,2,2
ETHWUSDT,3,3,,3
FETUSDT,4,,4,4
FILUSDT,3,2,3,3
FLMUSDT,4,5,4,4
FLOWUSDT,3,4,3,3
FOOTBALLUSDT,2,,,
FRONTUSDT,4,,,4
FTMUSDT,4,4,4,4
FTTUSDT,2,,,3
FXSUSDT,3,2,3,3
GALUSDT,4,3,4,4
GALAUSDT,5,5,5,5
GASUSDT,3,,,3
GLMRUSDT,4,3,4,4
GMTUSDT,4,4,4,4
GMXUSDT,2,3,2,2
GRTUSDT,5,5,5,5
GTCUSDT,3,3,3,3
HBARUSDT,5,5,5,5
HFTUSDT,4,,4,4
HIFIUSDT,4,,,4
HIGHUSDT,3,,3,3
HNTUSDT,3,3,,3
HOOKUSDT,4,,4,4
HOTUSDT,6,6,6,6
ICPUSDT,3,2,3,3
ICXUSDT,4,4,4,4
IDUSDT,4,,4,4
IDEXUSDT,5,,5,5
ILVUSDT,2,1,,2
IMXUSDT,4,3,4,4
INJUSDT,3,4,3,3
IOSTUSDT,6,5,6,6
IOTAUSDT,4,4,4,4
IOTXUSDT,5,5,5,5
JASMYUSDT,6,6,6,6
JOEUSDT,4,,4,4
JTOUSDT,4,,4,4
KASUSDT,5,,,5
KAVAUSDT,4,3,4,4
KEYUSDT,6,,6,6
KLAYUSDT,4,4,4,4
KNCUSDT,4,4,4,4
KSMUSDT,2,2,2,2
LDOUSDT,4,4,4,4
LEVERUSDT,6,,6,6
LINAUSDT,5,5,5,5
LINKUSDT,3,3,3,3
LITUSDT,3,3,3,3
LOOMUSDT,4,,4,4
LPTUSDT,3,3,3,3
LQTYUSDT,4,,4,4
LRCUSDT,4,4,4,4
LTCUSDT,2,2,2,2
LUNA2USDT,4,3,4,
MAGICUSDT,4,4,4,4
MANAUSDT,4,4,4,4
MASKUSDT,3,3,3,3
MATICUSDT,4,4,4,4
MAVUSDT,4,,4,4
MBLUSDT,6,,,6
MDTUSDT,5,,5,5
MEMEUSDT,6,,6,6
MINAUSDT,4,3,4,4
MKRUSDT,1,1,1,1
MTLUSDT,4,3,,4
NEARUSDT,3,3,4,3
NEOUSDT,3,2,3,3
NKNUSDT,5,,5,5
NMRUSDT,2,,,2
NTRNUSDT,4,,,4
OCEANUSDT,4,4,4,4
OGNUSDT,4,4,4,4
OMGUSDT,4,3,4,4
ONEUSDT,5,5,5,5
ONGUSDT,4,,,4
ONTUSDT,4,5,4,4
OPUSDT,4,4,4,4
ORBSUSDT,5,,5,5
ORDIUSDT,3,,3,3
OXTUSDT,5,,,5
PENDLEUSDT,4,,4,4
PEOPLEUSDT,5,5,5,5
PERPUSDT,4,,,4
PHBUSDT,4,,4,4
POLYXUSDT,4,,4,4
POWRUSDT,4,,,4
PYTHUSDT,4,,4,4
QNTUSDT,2,,2,2
QTUMUSDT,3,3,3,3
RADUSDT,3,,3,3
RAYUSDT,3,,,3
RDNTUSDT,4,,4,4
REEFUSDT,6,6,6,6
RENUSDT,5,4,5,5
RIFUSDT,5,,,5
RLCUSDT,4,,4,4
RNDRUSDT,4,3,4,4
ROSEUSDT,5,4,5,5
RSRUSDT,6,6,6,6
RUNEUSDT,3,3,3,3
RVNUSDT,5,5,5,5
SANDUSDT,4,4,4,4
SCUSDT,6,5,,6
